"session_id","time_start","browser","ip_address","time_end","biomass","recruitment","assessment","climate","fish_condition","recreational","commercial","time_q_biomass","time_q_recruitment","time_q_assessment","time_q_climate","time_q_fish_condition","time_q_recreational","time_q_commercial","time_p_Introduction","time_p_End","report_year","stock","time_q_report_year","time_q_stock","time_p_fisheries_page","current_page"
"36b61a53efabebfeab3a3109c302265c","2025-11-26 23:40:04 UTC","Electron v37, Windows","127.0.0.1","2025-11-26 23:41:36 UTC","-4","0","2","2","2",0,0,,,,,,,,"2025-11-26 23:40:04 UTC","",,,,,"",""
"be164a83d8a6ed8a0e387c6c06f3df8e","2025-11-26 23:40:15 UTC","Edge v142, Windows","127.0.0.1","2025-11-26 23:41:36 UTC","0","0","2","2","2",0,0,,,,,,,,"2025-11-26 23:40:15 UTC","",,,,,"",""
"fd28604b0ad5c4e626a7be7141e71b08","2025-12-01 14:44:35 UTC","Electron v37, Windows","127.0.0.1","2025-12-01 14:55:45 UTC","0","0","2","2","2",0,0,,,,,,,,"2025-12-01 14:44:35 UTC","",,,,,"",""
"d0a5b6390f074927830ce429dbd5ca3a","2025-12-01 14:44:38 UTC","Edge v142, Windows","127.0.0.1","2025-12-01 14:55:45 UTC","0","0","2","2","2",0,0,,,,,,,,"2025-12-01 14:44:38 UTC","",,,,,"",""
"b745472c1eedee0259c991051dfc57c2","2025-12-01 16:17:00 UTC","Electron v37, Windows","127.0.0.1","2025-12-01 16:17:45 UTC","0","0","2","2","2",,,,,,,,,,"2025-12-01 16:17:00 UTC","",,,,,"",""
"927e03dbd5c4a4e612355b84614a83e0","2025-12-01 16:17:04 UTC","Edge v142, Windows","127.0.0.1","2025-12-01 16:17:45 UTC","0","0","2","2","2",0,0,,,,,,,,"2025-12-01 16:17:04 UTC","",,,,,"2025-12-01 16:17:18 UTC","fisheries_page"
"3d4bec7ccb96b15f74b7907e8c706970","2025-12-01 16:19:45 UTC","Electron v37, Windows","127.0.0.1","2025-12-01 16:23:18 UTC","0","0","2","2","2",,,,,,,,,,"2025-12-01 16:19:45 UTC","",,,,,"",""
"a5d1a6a33184ed3a9b3950767df21abf","2025-12-01 16:19:50 UTC","Edge v142, Windows","127.0.0.1","2025-12-01 16:20:40 UTC","0","0","2","2","2",0,0,,,,,,,,"2025-12-01 16:19:50 UTC","2025-12-01 16:20:36 UTC",,,,,"2025-12-01 16:20:09 UTC","End"
"ea93b077459646fce079dd4dd1e6fa1b","2025-12-01 16:25:43 UTC","Electron v37, Windows","127.0.0.1","2025-12-01 16:26:29 UTC","0","0","2","2","2",,,,,,,,,,"2025-12-01 16:25:43 UTC","",,,,,"",""
"ae3ce6de4e0ad1d5e9f1ddec249ad21f","2025-12-01 16:25:46 UTC","Edge v142, Windows","127.0.0.1","2025-12-01 16:26:29 UTC","0","0","2","2","2",0,0,,,,,,,,"2025-12-01 16:26:20 UTC","",,,,,"2025-12-01 16:26:07 UTC","Introduction"
